TAIR ID	UniProt Accession
AT1G02630	Q7XAU2; Q84XI3; Q9FWY1; A0A178W3N0
AT1G02640	Q94KD8; Q9FWY2
AT1G02650	Q9FWY3; A0A1P8ARE6
AT1G02660	F4HXL0
AT1G02670	A0A1P8ASB4; A0A1P8ASC7; A0A1P8ASB1; A0A1P8ASG8; A0A1P8ASE4; A0A1P8ASB2; F4HXL1
AT1G02680	A0A178WN38; Q6NQH4
AT1G04143	-
AT1G02690	F4HXL3; Q9FWY7
AT1G02700	Q9FWY8
AT1G02705	-
AT1G02710	Q3EDK2
AT1G02720	Q9FWY9; W8Q7E9
AT1G02730	W8QPC8; Q9SRW9; A0A178W647
AT1G02740	Q9SRX0; Q4V3E2
AT1G02750	F4HXM2; Q8GWK1
AT1G02770	Q9SRX1
AT1G02780	Q9SRX2
AT1G02790	P49062; A0A178WH12
AT1G02800	Q9SRX3; O64949
AT1G02810	Q9SRX4; Q0WPU4
AT1G02813	F4HXM8; A0A178WJF8
AT1G02816	Q9SRX5; A0A178W3T1
AT1G02820	Q9SRX6; A0A178WJ88
AT1G02830	Q9SRX7
AT1G02840	O22315; Q564E1; O22314; Q39201; Q8L7P1
AT1G02850	Q3EDK1; B3H5Q1; Q9SRX8; A0A178W6X9; A8MRZ0; Q94A86
AT1G02860	Q8L8T3; A0A178WJE5; A0A1P8AR01; B3H5D0; Q9SRX9
AT1G04147	-
AT1G02870	Q8RWK5
AT1G04153	-
AT1G02880	B3H6N1; Q9SRY1; A0A178WKT3; B9DGU7; Q93Z45; A0A1P8ARA0
AT1G02890	F4HZ82; F4HZ81
AT1G02900	A0A178WER1; Q9SRY3
AT1G02910	Q9SRY4; A0A1P8ANG6
AT1G02920	Q9SRY5; O23720; Q541C6; A0A178W5T1
AT1G02930	A0A178WN35; P42760
AT1G02940	F4HZ88; Q9SRY6; A0A1P8AST6; A0A1P8ASP1
AT1G02950	A0A178WJ49; Q84TK0; Q9FPM2; A0A1P8AMT5; B3H520; Q9SRY7
AT1G02952	-
AT1G02960	A0A178WKM0; F4HZ93; A0A1P8ASC9; F4HZ95; C0Z2W6; Q8GWB5
AT1G02965	F4HZ96
AT1G02970	Q8L4H0; Q9SRY9
AT1G02980	Q9SRZ0; Q8GY26
AT1G02990	A0A1P8AM24; F4HZA0; Q8RXR8; F4HZ99
AT1G03000	Q8RY16; Q9SA70; A0A178WG59
AT1G03010	A0A178WMH0; A0A1P8AM39; A0A1P8AM10; Q9SA69
AT1G03020	A0A178WAC0; Q9SA68; C1JGR2
AT1G03030	A0A1P8AMF1; Q500U9
AT1G03040	F4HZA7; A0A178W559; A0A1P8ASS1; Q93Y00; Q9SA66
AT1G03050	Q1PFZ0; Q9SA65
AT1G03055	F4HZB1; Q7XA78
AT1G03060	A0A1P8AT57; A0A1P8AT19; Q9SA64; A0A1P8AT16; A0A178W7I4; F4HZB2
AT1G03070	Q9SA63
AT1G03080	F4HZB5; Q9SA62
AT1G03090	Q9SA61; Q42523
AT1G04157	-
AT1G03100	Q9SA60
AT1G04163	-
AT1G03103	F4HZB9; A0A178WIC9
AT1G03106	Q8L760
AT1G03110	Q93WD7; A0A178VZV6
AT1G03120	A0A1P8ATY1; Q9SA57
AT1G03130	A0A178W876; Q9SUI3; Q9SA56
AT1G03140	Q9SA55; A0A178WM57
AT1G03150	Q8LGI8; Q94EZ1; A0A178WDM9
AT1G04167	-
AT1G03160	Q1KPV0; Q67Z21; Q9ZVR8; A0A1P8AUL2; A0A1P8AUL4; Q6NQ84; Q9SA53
AT1G03165	-
AT1G04173	-
AT1G03170	Q8GXU9; Q9ZVR9
AT1G03180	Q5Q0J3; A0A178W4Z5; Q5Q0J2; A0A1P8AVN6
AT1G03190	Q9ZVS1; A0A178W4P7; Q8W4M7; Q9SE44
AT1G04177	-
AT1G03200	B6IDH7
AT1G03210	A0A1P8ARL5; Q9ZVS2
AT1G03220	A0A178W8S3; Q9ZVS4
AT1G03230	Q9ZVS5
AT1G03240	F4I0U4
AT1G03250	A0A1P8AQZ8; A0A1P8AQQ6; Q8L3X7; A0A178WNQ5; F4I0U6
AT1G03260	A0A178WAG9; Q6NMJ6
AT1G03270	A0A178W3C6; F4I0U8; Q9ZVS8
AT1G03280	Q93ZW3
AT1G03290	A0A1P8AT68; A0A178WKZ9; A0A1P8AT82; Q9ZVT0
AT1G03300	Q9ZVT1
AT1G03310	Q9ZVT2; A0A178WGA8; Q8L735
AT1G03320	A0A178WHR5; Q9ZVT3
AT1G03325	-
AT1G03330	Q8L5U6; Q1H595; A0A178W785; Q9ZVT4
AT1G03340	A0A178WAU2; Q9ZVT5
AT1G03350	A0A178W020; Q9ZVT6
AT1G03360	Q9ZVT7; A0A178W3N1
AT1G03365	Q9ZVT8; A0A178WED7
AT1G03370	Q7EAV1; A0A1P8AUR4; Q9ZVT9
AT1G03380	Q8GUL1; A0A178W5N1; Q9LR84; Q9ZVU0; Q56W94
AT1G03390	Q9LR83; A0A178WHE3
AT1G03395	-
AT1G03400	A0A1P8AQW5; A0A178W144; Q94A78; Q9LR82
AT1G03410	A0A178WBQ3; Q43383; A0A1P8AWC4; Q9LR82
AT1G04183	-
AT1G03430	A0A178W1N4; A0A1P8AWM0; Q67XQ1; Q9MAY1; Q9LR80; Q8L9T7
AT1G03440	A0A178WC83; F4I0W7
AT1G03445	A0A1P8AQ82; A0A178WIX8; Q9LR78
AT1G03457	A0A1P8AVL3; Q9LR77; Q8GZ26; A0A178WA59; A0A178WAT1; F4I0X0
AT1G03470	Q66GR8; Q9LR76; Q67ZU6; A0A178W5C1
AT1G03475	A0A178WIW9; Q546I5; Q94JR5; Q9LR75
AT1G03490	Q9LR74
AT1G03495	Q9LR73
AT1G03510	Q9LR72; A0A178WDL1
AT1G03520	Q9LR71; A0A178W5Z1; A8MQE8
AT1G03530	A0A178WI11; Q9LR70
AT1G03540	Q9LR69; A0A178W991
AT1G03550	Q9LR68; A0A1P8AMH4; A0A1P8AMJ6; A0A1P8AMF6; A0A1P8AMG5; A0A1P8AMJ9; A0A1P8AMG2
AT1G03545	-
AT1G03560	Q9LR67; A0A178WNH3; Q0WPE3
AT1G03590	Q9LR65; Q8SBC2; A0A178W5G0
AT1G03600	Q9LR64; Q9FPJ9; A0A178WF34
AT1G03610	A0A178WD37; Q8LF98; A0A1P8AV44
AT1G03620	A0A1P8APK4; A0A178WLF8; A0A1P8APM3; A2RVK8
AT1G03630	A0A178W6J3; Q0WVW0; F4I2F8; O48741
AT1G03650	A0A178WJB2; Q8GWN1
AT1G03660	F4I2G0
AT1G04203	-
AT1G03670	A0A178WD46; F4I2G1
AT1G03680	A0A178W6J8; O48737
AT1G03687	A0A178W3J8; F4I2G4; F4I2G3
AT1G03700	Q9LR57; A0A178WAG7
AT1G03710	A0A178W1P6; Q58G57
AT1G03720	A0A178WAF9; Q9LR55; A0A1P8ASQ4
AT1G04207	-
AT1G03730	A0A178W7L0; Q1ECK0
AT1G03740	F4I2H1; Q9LR53
AT1G03750	Q9ZW97; F4I2H2; A0A178WG64
AT1G03760	Q8GWP1; A0A178W6X7
AT1G03770	F4I2H5; A0A1P8AWT6; A0A1P8AWX4; Q0WX00; Q9ZW99; A0A178WM67; A0A178WM72; F4I2H4
AT1G03780	F4I2H7; Q56XS5; F4I2H9; Q9ZWA0; A0A178WE47; Q3EDJ2
AT1G03790	A0A178W4T9; Q8GZ44; Q9ZWA1
AT1G03800	Q08A59; Q9ZWA2; A0A178WJY9
AT1G03810	Q9ZWA3; A0A178WBE4
AT1G03820	Q9ZWA4; A0A178W1S3
AT1G03830	Q9ZWA5; F4I2I5; A0A178WGP9
AT1G03840	A0A178W8W7; Q9ZWA6; Q700E8; C0SUS5
AT1G03850	Q94CA3; C1JGQ8; Q84TF4; A0A178W2Q3; A0A1P8AQF1; Q9ZWA7
AT1G03860	A0A178WBG3; F4I2J2; Q9ZNT7
AT1G03870	A0A178WJQ8; Q8H794; Q9ZWA8; B3LF88
AT1G03880	P15456; A0A178W5K4; Q56WH8; Q9SAW0
AT1G03890	A0A178WE94; Q9ZWA9; Q67ZY3
AT1G03900	A0A178WMR3; Q94B37; Q67YX5; Q9ZWB0; Q681Q7
AT1G03905	Q9ZWB0; A0A178W9Z9; Q3EDJ0; A0A1P8AX17; A0A178WBN4
AT1G03910	A0A178WHR8; Q9ZWB1; F4I2J8
AT1G03920	A0A1P8AWP3; A0A178WHV8; F4I2K0
AT1G03930	Q38926; Q9ZWB3; A0A178WAQ8
AT1G03940	Q9ZWB4
AT1G03950	Q9ZWB5; Q941D5; A0A178W3V6
AT1G03960	A0A1P8AMC5; Q84JI6; A0A178W4Q4; F4I2K5; A0A1P8AMC2; Q9ZWB6; A0A1P8AMG0
AT1G03970	P42777; A0A178WKF4; Q2HIT6
AT1G04233	-
AT1G03980	Q9ZWB7; A0A1P8AVJ0; A0A178WLT1; A0A1P8AVN4
AT1G03982	Q9ZWB8; A0A178WCR8
AT1G03990	Q9ZWB9; F4I439
AT1G04000	Q9ZWC0; A0A178WMX4
AT1G04010	A0A178W9Q7; Q4VCM1; Q9ZWC1
AT1G04020	A0A178W540; B5A7D7; B5A7D6; F4I443; F4I442; Q9ZWC2
AT1G04030	F4I444; A0A178WHP7
AT1G04040	Q9ZWC4; A0A178WEF3
AT1G04237	-
AT1G04050	A0A1P8ANQ7; O64498; Q946J2; Q9SAW1; A0A178WJU9
AT1G04070	A0A178WK57; O64497; Q1H594
AT1G04080	Q93ZR3; A0A1P8ATH2; F4I448; A0A178W5N7; F4I450
AT1G04090	Q501D1; A0A178WMD9
AT1G04100	Q38828; A0A178W8Y8
AT1G04105	-
AT1G04110	A0A178WPN6; O64495
AT1G04120	Q7GB25; A0A178WGC2; Q56ZX0; A0A1P8AT08; F4I454; O65619
AT1G04243	-
AT1G04130	F4I456; Q940R2
AT1G04140	Q94C94; F4I458
AT1G04150	O64492
AT1G04160	F4I460; O64491; A0A1P8ARX4
AT1G04170	O64490; A0A178WKN5
AT1G04180	O64489; A0A178WB22
AT1G04190	Q8RXN1; A0A178WLS7
AT1G04200	A0A1P8ATY2; Q8RWV1; A0A1P8ATW4; A0A178WDQ3
AT1G04210	O64486; A0A178W6H8
AT1G04220	Q8VXW2; Q56WE1; A0A178WF97; Q5XEP9; O64485
AT1G04247	-
AT1G04230	A0A1P8ANS3; Q94K10; A0A178W126
AT1G04240	O04741; A0A1P8AT43; B0FV08; Q38822; A0A178WBD1
AT1G04253	-
AT1G04250	O49162; P93830; A0A178WIK9
AT1G04260	Q8LC18; P93829
AT1G04270	Q08112; F4I472; A0A178WE09
AT1G04280	Q0WUY1; Q7GB61
AT1G04290	A0A1P8APX5; A0A178W7W7; P93828
AT1G04295	-
AT1G04300	F4I476; A8MQL1; F4I479; A0A1P8AR94; A0A1P8ARC9; A8MR11
AT1G04310	B0FVX0; B0FVU5; B0FVW8; B0FVX9; P93825; B0FVU3; A0A178WDB1
AT1G04330	O22691; A0A178W5E3
AT1G04340	O22690; A0A178WB80
AT1G04350	A0A178WPE0; P93824
AT1G04360	P93823
AT1G04370	P93822; Q0V7Z9; C0SUS6
AT1G04380	Q0WR06; A0A1P8ASV9; P93821
AT1G04257	-
AT1G04390	Q0WQI5; A0A178W9R5; F4I487; P93820
AT1G04400	Q8VZY9; B0LQ25; Q696X6; Q696Z7; B0LQ23; G4WTR2; Q8VWL9; Q42604; Q56ZL8; Q696X8; B0LQ24; B0LQ29; Q42603; Q96524; Q697A2; Q42549
AT1G04410	P93819; A0A178W4H0
AT1G04420	A0A178WJS5; Q8VZ23
AT1G04425	-
AT1G04430	Q94EZ3; Q940J9; P93817; A0A178W2D5; Q56WM9; Q8LG52
AT1G04440	A0A178WNS3; Q84WN7; Q5XF24; P93816
AT1G04445	A0A1P8AWD1; P93815
AT1G04450	F4I5N6; P93814
AT1G04455	-
AT1G04470	P93812
AT1G04480	A0A178VEM4; Q9SDB5; Q8L8P0; Q1H559; P49690
AT1G04490	Q67XK9; A0A178WKV3; A0A1P8ARL2
AT1G04500	A0A1P8ATH6; A0A1P8ATF4; Q1PFY7
AT1G04510	F4I5P3; Q94BR4; P93809; Q56Y87
AT1G04520	Q6NM73; A0A178WKV6; P93806; P93807
AT1G04530	Q8VZ31
AT1G04540	F4I5P7
AT1G04550	Q38830; Q8LA42; F4I5P9
AT1G04555	Q1G3F4; A0A178W895
AT1G04560	O23029; A0A178WQ99
AT1G04570	Q8GYA1; F4I5Q2; A0A178WE58; A0A1P8APB4; O23028
AT1G04580	O49157; Q7G191; A0A178WM01; O23027; Q7GB29
AT1G04590	Q9C5I2; F4I5Q5; A0A178WAM9
AT1G04600	O23025; F4I5Q6
AT1G04610	A0A178WNT4; O23024
AT1G04620	O23023; Q8GS60
AT1G04625	F4I5Q9
AT1G04630	Q8RWA7; Q8GX35; A0A178W1J5; O23022
AT1G04635	O23021; A0A178W961; Q6AWV1
AT1G04640	Q9SXP7; O23021; A0A178WI01
AT1G04645	Q8LD41; A0A178W3U9; A0ME54; O23020
AT1G04650	A0A1P8AVU0; A0A178WEL9; F4I5R5
AT1G04283	-
AT1G04660	O23018; A0A178WCJ3
AT1G04670	Q5Q0I9; A0A178WIB5
AT1G04680	O23017; A0A178W464; O23666; Q940Q1
AT1G04690	Q39151; A0A178WF48; O23016
AT1G04700	A0A178WP41; F4I5S1; A0A1P8AMW0
AT1G04710	A0A178W7T5; Q8LF48; O23014; Q8LPI4
AT1G04730	A0A1P8ASP2; A0A178WFM0; F4I5S3
AT1G04750	O23011; A0A1P8AS81; Q9ZTW3; A0A178W204; Q681L9; Q9MAS4
AT1G04287	-
AT1G04760	Q9MAS5
AT1G04770	Q8L730; Q0WU73; Q9MAS6; A0A178WHH9
AT1G04778	A0A178W2B6; A8MRV2
AT1G04780	A0A178WJQ3; Q8GXW8
AT1G04790	Q93XZ6; A0A178W947
AT1G04800	A0A178WRL5; Q9MAS9
AT1G04810	A0A178WEG0; Q9MAT0; Q6XBM5
AT1G04820	A0A178W5L2; B9DGT7; P29510; Q0WV25
AT1G04830	A0A1P8AWI2; A0A178WL94; F4I5T4; Q84K76
AT1G04840	Q9MAT2; A0A178WCW3
AT1G04850	Q9MAT3; A0A1P8AW60; A0A178W2G7
AT1G04860	Q9MAT4; Q8W4N3; A0A178WGQ0
AT1G04870	Q9MAT5; Q8W552; A0A178WKU5; Q93Z15
AT1G04880	Q9MAT6; A0A178W6Z4
AT1G04890	F4I759
AT1G04293	-
AT1G04895	-
AT1G04900	A0A178WEZ0; Q94C90
AT1G04297	-
AT1G04910	A0A178W9Z2; Q8W486; Q9MAT9; Q56ZD6
AT1G04303	-
AT1G04920	A0A178WKI5; Q8RY24; Q9MAU0; W8PW44
AT1G04930	A0A178WG83; Q9MAU1; A0A1P8AV54; F4I764
AT1G04945	A0A178WNX8; F4I765; Q0WTZ4; A0A1P8ANR0; A8MRX6
AT1G04940	A0A178W3W6; Q8GZ79; Q9MAU2
AT1G04950	Q9MAU3; B9DH88; A0A178W741; B9DGR1
AT1G04960	Q9MAU4; A8MRN9; A0A178WJ83
AT1G04970	F4I775; Q9MAU5; A0A178WDD6; Q8LAL8
AT1G04980	Q9MAU6
AT1G04985	A0A178W4H2; Q84JL8; A0A1P8AQS7; A0A178W6Q6
AT1G04990	A0A1P8AWC2; A0A178WJY4; A0A1P8AWC1; Q9MAU8; C0SUT1; Q94AD9; A0A1P8AWC3
AT1G05000	Q9ZVN4; Q0WS70; F4I780; A0A1P8ATV0
AT1G05005	-
AT1G04307	-
AT1G05010	Q06588; Q9S9K8; Q94K94; A0A178WHU2
AT1G05020	Q9ZVN6
AT1G05030	Q9ZVN7; Q5XF02; A0A1P8ANF6; Q0WVE9
AT1G04313	-
AT1G05035	-
AT1G04323	-
AT1G05040	B3H6T5; Q9ZVN8
AT1G05055	A0A178W5Z7; Q9ZVN9
AT1G05060	Q9ZVP0
AT1G05065	Q3EDI6
AT1G05070	Q94AB8
AT1G05080	F4I791; Q9ZVP2
AT1G05085	F4I792
AT1G04327	-
AT1G04333	-
AT1G05087	-
AT1G05090	F4I793
AT1G05100	A0A178WNM3; Q9ZVP5
AT1G05120	A0A178W5J4; F4I795; A0A1P8AWF9
AT1G05136	B3H718
AT1G05140	O23053; Q8L738
AT1G05150	O23052; Q0WNK7
AT1G05160	Q9C5Y3; O23051; Q0WPQ3
AT1G05170	A8MRC7; O23050; W8Q3U9
AT1G04337	-
AT1G05180	P42744; A0A178WFT2; F4I7A3; F4I7A4
AT1G05190	O23049; A0A178W979
AT1G05200	Q8LGM9; Q9SWD9; O23048; A0A1P8AP10; A0A1P8AP36; Q8GXJ4; Q53YX3
AT1G04343	-
AT1G05205	Q8LG56
AT1G04347	-
AT1G05210	O23047; A0A178W8R1
